No.,Buggy_Trip_Plural_Evaluator1,Buggy_Trip_Plural_Evaluator2,Buggy_Trip_Plural_Consistent,Translation_Label_Evaluator1,Translation_Label_Evaluator2,Translation_Label_Consistent,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Bug_Type_Consistent,Source_Sentence,Source_Regex,Intermediate_Sentence,Translated_Sentence,Translated_Regex,LEVEN,LEVEN_Norm,Dep_Distance,DEP,DEP_Norm,SBERT,SBERT_Norm,BLEU,BLEU_Norm,REG,REG_Norm,DFA_Raw,DFA,DFA_Norm,HYB,HYB_Norm
55,BW,ambiguity,BW,bug,bug,bug,order,order,order,"rows with the string <M0> in front of either the string <M1> , the string <M2> , or a letter",( <M0> ) . * ( ( <M1> ) | ( <M2> ) | ( [ <LET> ] ) ) . *,字符串<M1>，字符串<M2>或字母前面带有字符串<M0>的行,"character string <M1> , character string <M2> , or line with character string <M0> in front of the letter",( ( . ) | ( <M2> ) | ( [ <LOW> ] ) ) . * ( <M0> ) . *,0.39047619,0.291446673,7,0.695652174,0.6315789479999999,0.937548376,0.8124587390000001,0.677831445,0.586626556,0.45,0.37142857100000004,0.0155735,0.0155735,0.0155735,0.23278675,0.1816392
56,c,plural,p,correct,bug,bug,,,,"lines containing either the string <M0> , characters , or the string <M1>",. * ( <M0> ) | ( . ) + | ( <M1> ) . *,包含字符串<M0>，字符或字符串<M1>的行,"line containing string <M0> , character or string <M1>",. * ( <M0> ) | ( <M1> ) . *,0.739726027,0.717406084,6,0.739130435,0.6842105270000001,0.980476771,0.9459174690000001,0.677852028,0.5866555999999999,0.6875,0.642857143,3.935783799999999e-06,3.93578e-06,3.93578e-06,0.34375196799999996,0.30000209899999997
57,p,plural,p,bug,bug,bug,,,,"strings with vowels in front of the string <M0> , up to 7 times","( [ <VOW> ] ) + . * ( ( <M0> ) { , 7 } ) . *",字符串<M0>前面带有元音的字符串，最多7次,"string <M0> with a vowel in front , up to 7 times","( [ <VOW> ] ) . * ( ( . ) { , 7 } ) . *",0.571428571,0.512143611,2,0.913043478,0.894736842,0.950963077,0.8541632790000001,0.67817553,0.587112074,0.857142857,0.8367346940000001,0.0002479544,0.000247954,0.000247954,0.428695406,0.390608433
58,c,,None,correct,correct,correct,,,,"lines having either the string <M0> , a letter , or a number before a character",( ( <M0> ) | ( [ <LET> ] ) | ( [ <NUM> ] ) ) . * ( . ) . *,在字符前具有字符串<M0>，字母或数字的行,"line with character string <M0> , letter or number before the character",( ( <M0> ) | ( [ <NUM> ] ) + ) . * ( <M0> ) . *,0.708860759,0.6797615379999999,10,0.565217391,0.47368421,0.972115168,0.9199223459999999,0.67827608,0.587253955,0.7,0.6571428570000001,2.476903e-05,2.4769e-05,2.4769e-05,0.350012385,0.306679877
59,c,,None,correct,correct,correct,,,,"strings containing ending with a character , zero or greater times",. * ( . * ) ( ( . ) * ) . *,包含以一个字符结尾，零次或更多次的字符串,"contains a string that ends with one character , zero or more times",( . * ( . * ) ( . ) . * ) *,0.597014925,0.543349777,8,0.6521739129999999,0.578947369,0.91155878,0.731660505,0.6784601020000001,0.587513617,0.7142857140000001,0.673469388,1.0,1.0,1.0,0.857142857,0.847619048
60,c,,None,correct,correct,correct,,,,"lines having either the string <M0> , vowels , or a letter or the string <M1> , up to 3 times","( ( ( <M0> ) | ( [ <VOW> ] ) + | ( [ <LET> ] ) ) | ( <M1> ) ) { , 3 }",包含字符串<M0>，元音或字母或字符串<M1>的行，最多3次,"line containing string <M0> , vowel or letter or string <M1> , up to 3 times","( ( . * <M0> . * ) | ( <M1> ) ) { , 3 }",0.7311827959999999,0.7069864090000001,7,0.695652174,0.6315789479999999,0.945764666,0.838002103,0.67859774,0.58770783,0.428571429,0.346938776,0.0008673026999999999,0.000867303,0.000867303,0.21471936600000002,0.162367323
61,c,,None,correct,correct,correct,,,,"rows with a word that has the string <M0> , zero or more times before a vowel",\ b ( ( <M0> ) * ) . * ( [ <VOW> ] ) . * \ b,在元音之前的单词包含字符串<M0>的行，零次或多次,"the word before the vowel contains the line of the string <M0> , zero or more times",( . * <M0> . * ) . * ( ( <M1> ) * ) . *,0.385542169,0.285428939,6,0.739130435,0.6842105270000001,0.9223159940000001,0.765103267,0.678747883,0.5879196879999999,0.470588235,0.39495798299999996,0.0,0.0,0.0,0.235294118,0.184313725
62,FW,FW,FW,bug,bug,bug,Under-translation,affiliation,"affiliation, under-translation","rows starting with the string <M0> then the string <M1> , greater than or equal to 5 times","( ( <M0> . * <M1> . * ) { 5 , } ) ( . * )",从字符串<M0>到字符串<M1>的行，大于或等于5倍,"line from string <M0> to string <M1> , greater than or equal to 5 times","( ( <M1> ) ( . * ) ) { 5 , }",0.7111111109999999,0.68250616,9,0.608695652,0.52631579,0.9178754809999999,0.7512982970000001,0.67883996,0.5880496129999999,0.4,0.314285714,0.0,0.0,0.0,0.2,0.146666667
63,p,plural,p,bug,bug,bug,,,,"lines containing either a lower case letter , an upper case letter , or the string <M0> or the string <M1>",. * ( ( [ <LOW> ] ) | ( [ <CAP> ] ) | ( <M0> ) ) | ( <M1> ) . *,包含小写字母，大写字母或字符串<M0>或字符串<M1>的行,"lines containing lowercase letters , uppercase letters or string <M0> or string <M1>",. * ( [ <LET> ] ) + | ( [ <LET> ] ) + | ( <M1> ) . *,0.764150943,0.747195712,10,0.565217391,0.47368421,0.954896145,0.8663906690000001,0.6789299129999999,0.58817654,0.6190476189999999,0.56462585,0.50781,0.50781,0.50781,0.56342881,0.534324063
64,c,,None,correct,correct,correct,,,,lines not having a character instead of a vowel,~ ( ( . ) & ( [ <VOW> ] ) ),行没有字符而不是元音,lines have no characters instead of vowels,( ( . ) + & ( ~ ( [ <VOW> ] ) + ) ) &,0.723404255,0.6974993820000001,4,0.826086957,0.789473685,0.9118528990000001,0.732574882,0.679101049,0.58841802,0.533333333,0.46666666700000003,False,0.0,0.0,0.26666666699999997,0.217777778
65,FW,FW,FW,bug,bug,bug,quantifier ,quantity,quantifier,lines starting with a lower case letter at least once or a capital letter,( ( ( [ <LOW> ] ) + ) | ( [ <CAP> ] ) ) ( . * ),以小写字母开头的行或至少一个大写字母的行,lines beginning with lowercase letters or lines with at least one capital letter,( ( [ <LET> ] ) + | ( ( [ <VOW> ] ) + ) ) ( . * ),0.6375,0.592727033,9,0.608695652,0.52631579,0.94201838,0.8263553929999999,0.6794206009999999,0.588868921,0.588235294,0.529411765,0.689376,0.689376,0.689376,0.638805647,0.614726024
66,FW,,FW,bug,correct,bug,quantifier ,affiliation,quantifier,"lines with a character then a lower-case letter , two or more consecutive times","( . . * [ <LOW> ] . * ) { 2 , }",连续两个或多个连续的字符行和一个小写字母,two or more consecutive character lines and a lowercase letter,"( . * ) & ( ( [ <LOW> ] ) { 2 , } ) & ( [ <LOW> ] )",0.265822785,0.139414273,12,0.47826087,0.36842105399999997,0.9236305220000001,0.769189962,0.679467349,0.588934885,0.26666666699999997,0.16190476199999998,0.0,0.0,0.0,0.133333333,0.075555556
67,FW,plural,FW,bug,bug,bug,"quantifier, under-translation",ut/quantity,"quantifier, under-translation",lines ending with words that have the string <M0> at least once,( . * ) ( \ b ( <M0> ) + \ b ),以至少包含字符串<M0>的单词结尾的行,line ending with a word containing at least the string <M0>,( . * ) ( . * ( <M0> ) + . * ),0.49206349200000005,0.415346709,7,0.695652174,0.6315789479999999,0.912722395,0.7352780309999999,0.679473653,0.58894378,0.7142857140000001,0.673469388,8.309789000000002e-05,8.30979e-05,8.30979e-05,0.357184406,0.314330033
68,c,plural,amb,correct,bug,bug,,,,"lines not having a capitalized letter before a lower-case letter , greater than or equal to 2 times","~ ( ( [ <CAP> ] ) . * ( ( [ <LOW> ] ) { 2 , } ) . * )",小写字母前没有大写字母的行，大于或等于2倍,"lines without uppercase letters before lowercase letters , greater than or equal to 2 times","~ ( ( [ <LET> ] ) . * ( ( [ <LET> ] ) { 2 , } ) . * )",0.757575758,0.739176347,11,0.52173913,0.421052631,0.93949155,0.8184998109999999,0.679477445,0.58894913,0.875,0.857142857,-1.0,0.0,0.0,0.4375,0.4
69,c,,None,correct,correct,correct,,,,"rows with the string <M0> or a vowel , 7 or more times","( ( <M0> ) | ( [ <VOW> ] ) ) { 7 , }",字符串<M0>或元音的行，连续7次或更多次,"string <M0> or vowel line , 7 or more consecutive times","( ( ~ ( [ <VOW> ] ) ) | ( [ <VOW> ] ) ) { 7 , }",0.4,0.303062302,8,0.6521739129999999,0.578947369,0.9377718759999999,0.813153571,0.679666388,0.5892157370000001,0.692307692,0.648351648,-1.0,0.0,0.0,0.346153846,0.30256410300000003
70,c,,None,correct,correct,correct,,,,"lines not having a lower-case letter or the string <M0> , five or more times","( ~ ( [ <LOW> ] ) ) | ( ( <M0> ) { 5 , } )",没有小写字母或字符串<M0>的行五次或更多次,lines without lowercase letters or string <M0> five or more times,"( ( ~ ( [ <LET> ] ) + ) | ( <M0> ) ) { 5 , }",0.763157895,0.74598455,12,0.47826087,0.36842105399999997,0.9495580690000001,0.8497952940000001,0.679675577,0.589228703,0.571428571,0.510204082,0.9996,0.9996,0.9996,0.785514286,0.771215238
71,p,FW,FW,bug,bug,bug,quantifier ,quantity,quantifier,"lines arranged with vowels then an uppercase letter , 6 or more times","( [ <VOW> ] . * [ <CAP> ] . * ) { 6 , }",用元音排列的行，然后是大写字母，6次以上,"rows arranged with vowels , then capital letters , more than 6 times","( [ <VOW> ] ) + . * ( ( [ <CAP> ] ) { , 6 } ) . *",0.623188406,0.575272026,10,0.565217391,0.47368421,0.89449843,0.678622122,0.679791202,0.589391855,0.428571429,0.346938776,-1.0,0.0,0.0,0.214285714,0.16190476199999998
72,c,,None,correct,correct,correct,,,,"lines with a character , 6 or more times in total","( . ) { 6 , }",字符行，共6次以上,"character line , more than 6 times in total","( . * ) ( ( [ <LET> ] ) { , 6 } )",0.469387755,0.387690451,10,0.565217391,0.47368421,0.944316468,0.8334998459999999,0.68021753,0.589993421,0.3,0.2,0.0,0.0,0.0,0.15,0.093333333
73,FW,FW,FW,bug,bug,bug,"quantifier, order",quantity,"quantifier, order",strings with a lower-case letter at least one time before a character,( ( [ <LOW> ] ) + ) . * ( . ) . *,至少有一个字符的小写字母的字符串,a string of lowercase letters with at least one character,( [ <LET> ] ) +,0.565217391,0.504568201,4,0.826086957,0.789473685,0.866830883,0.592607359,0.6802853109999999,0.590089063,0.23076923100000002,0.12087912099999999,0.405891,0.405891,0.405891,0.318330115,0.272885456
74,FW,ambiguity,FW,bug,bug,bug,quantifier ,semantic,quantifier,"lines with a letter , zero or greater times before a character",( ( [ <LET> ] ) * ) . * ( . ) . *,字符前的字母行，零次或更多次,"the line of letters before the character , zero or more times",( . * [ <LET> ] . * ) . * ( ( <M0> ) * ) . *,0.322580645,0.20863848399999999,2,0.913043478,0.894736842,0.952878253,0.860117309,0.680349254,0.5901792889999999,0.588235294,0.529411765,0.00020466076000000004,0.000204661,0.000204661,0.29421997699999997,0.247167976
75,FW,FW,FW,bug,bug,bug,Under-translation,ut,under-translation,lines starting with a capital letter or a lower-case letter before a number,( ( [ <CAP> ] ) ( . * ) ) | ( ( [ <LOW> ] ) . * ( [ <NUM> ] ) . * ),以数字开头的大写字母或小写字母开头的行,lines that start with a capital letter or a lowercase letter,\ b ( ( [ <CAP> ] ) | ( [ <LOW> ] ) ) ( . * ) \ b,0.666666667,0.628299895,8,0.6521739129999999,0.578947369,0.8865489670000001,0.653908287,0.6806219379999999,0.590564057,0.454545455,0.37662337700000004,0.00325647,0.00325647,0.00325647,0.22890096199999999,0.17749436
76,c,,None,correct,correct,correct,,,,rows not having an uppercase letter or a digit,~ ( ( [ <CAP> ] ) | ( [ <NUM> ] ) ),没有大写字母或数字的行,lines without capital letters or numbers,~ ( ( ( [ <LET> ] ) + | ( [ <NUM> ] ) + ) ),0.347826087,0.23942886,9,0.608695652,0.52631579,0.780773238,0.325065466,0.26209131,0.0,0.642857143,0.591836735,0.9996,0.9996,0.9996,0.8212285709999999,0.809310476
77,FW,FW,FW,bug,bug,bug,"affiliation, under-translation",order,"affiliation, under-translation, order",lines with a lower-case letter or a letter in front of a capital letter,( ( [ <LOW> ] ) | ( [ <LET> ] ) ) . * ( [ <CAP> ] ) . *,小写字母或大写字母前面的行,rows before lowercase or uppercase letters,. * ( [ <CAP> ] ) | ( [ <LET> ] ) . *,0.366197183,0.261835001,10,0.565217391,0.47368421,0.796334793,0.373444292,0.281543581,0.02744796,0.4375,0.35714285700000004,0.381294,0.381294,0.381294,0.40939699999999996,0.37002346700000005
78,FW,FW,FW,bug,bug,bug,semantic,semantic,semantic,"lines with a number , 5 or more times","( [ <NUM> ] ) { 5 , }",行数大于或等于5次,the number of rows is greater than or equal to 5 times,"( . * ) ( [ , ] ) { 5 , }",0.351851852,0.244338848,9,0.608695652,0.52631579,0.7678317990000001,0.284832235,0.323899465,0.08721386800000001,0.333333333,0.23809523800000001,0.0,0.0,0.0,0.166666667,0.111111111
79,FW,FW,FW,bug,bug,bug,semantic,semantic,semantic,"lines with a number , 3 or more times","( [ <NUM> ] ) { 3 , }",行数大于或等于3次,the number of rows is greater than or equal to 3 times,"( ( . * ) ( , ) ) { 3 , }",0.351851852,0.244338848,9,0.608695652,0.52631579,0.755858817,0.247609809,0.323899465,0.08721386800000001,0.333333333,0.23809523800000001,0.0,0.0,0.0,0.166666667,0.111111111
80,p,,p,bug,correct,bug,,,,"lines having either the string <M0> , the string <M1> , or a vowel in front of the string <M2>",( ( <M0> ) | ( <M1> ) | ( [ <VOW> ] ) ) . * ( <M2> ) . *,包含<M0>，<M1>或在<M2>前面的元音的行,"lines containing <M0> , <M1> or vowels before <M2>",( . * [ <NUM> ] . * ) | ( ( [ <VOW> ] ) + . * ( [ <LET> ] ) . * ),0.425531915,0.334202071,11,0.52173913,0.421052631,0.851129738,0.543794565,0.33602715,0.104326534,0.523809524,0.455782313,-1.0,0.0,0.0,0.261904762,0.212698413
81,FW,,FW,bug,correct,bug,semantic,quantity,quantifier,"lines with a vowel , 5 or greater times in front of a lower-case letter","( ( [ <VOW> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *",在小写字母前的5个或5次以上的元音行,5 or more vowel lines before the lower case,"( ( [ <NUM> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *",0.352112676,0.24465695899999998,8,0.6521739129999999,0.578947369,0.83800795,0.503000653,0.34137095,0.11186685699999999,0.923076923,0.9120879120000001,0.0,0.0,0.0,0.46153846200000004,0.42564102600000003
82,FW,FW,FW,bug,bug,bug,semantic,semantic,semantic,"lines arranged with a number , 4 or more times","( [ <NUM> ] ) { 4 , }",行数大于或等于4次,the number of rows is greater than or equal to 4 times,"( . * ) ( ( . * { 4 , } ) )",0.314814815,0.19916696,8,0.6521739129999999,0.578947369,0.7828179059999999,0.331422069,0.34338973799999994,0.11471545,0.272727273,0.16883116899999998,False,0.0,0.0,0.13636363599999998,0.078787879
83,c,,None,correct,correct,correct,,,,"lines not having a character , not an upper case letter , nor a lower-case letter",~ ( ( . ) & ( [ <CAP> ] ) & ( [ <LOW> ] ) ),没有字符，没有大写字母或小写字母的行,"no characters , no capital or lowercase lines",| ( . ) + | ( . ) + | ( [ <LOW> ] ),0.444444444,0.35726856700000004,10,0.565217391,0.47368421,0.840144599,0.509643214,0.35097200700000003,0.125414346,0.428571429,0.346938776,0.0,0.0,0.0,0.214285714,0.16190476199999998
84,c,,None,correct,correct,correct,,,,"lines with a character , greater than or equal to two times in front of a digit","( ( . ) { 2 , } ) . * ( [ <NUM> ] ) . *",在一个数字前大于或等于两倍字符的行,lines with two or more characters before a number,\ b ( . ) + . * ( [ <NUM> ] ) . * \ b,0.34177215200000005,0.23204523300000002,8,0.6521739129999999,0.578947369,0.8908434940000001,0.6672594070000001,0.357703726,0.134913081,0.692307692,0.648351648,0.0001356668,0.00013566700000000001,0.00013566700000000001,0.34622168,0.302636458
85,c,,None,correct,correct,correct,,,,"lines with words that end with a number , 5 or more times","\ b ( ( . * ) ( [ <NUM> ] ) ) { 5 , } \ b",以5个或更多数字结尾的单词的行,rows of words ending in 5 or more digits,". * ( ( . * ) ( [ <NUM> ] ) + ) { 5 , }",0.473684211,0.392930585,6,0.739130435,0.6842105270000001,0.8943142590000001,0.678049558,0.357920357,0.135218756,0.692307692,0.648351648,0.0,0.0,0.0,0.346153846,0.30256410300000003
86,c,,None,correct,correct,correct,,,,"rows not having a digit , not a capitalized letter , and not a vowel",~ ( ( [ <NUM> ] ) & ( [ <CAP> ] ) & ( [ <VOW> ] ) ),没有数字，大写字母和元音的行,"lines without numbers , capital letters and vowels",~ ( ( [ <NUM> ] ) + & ( [ <LET> ] ) + ) & ( [ <VOW> ] ) +,0.441176471,0.353282813,13,0.434782609,0.31578947399999996,0.78764099,0.346416403,0.359696685,0.137725228,0.705882353,0.663865546,0.0454545,0.0454545,0.0454545,0.375668426,0.334046322
87,c,,None,correct,correct,correct,,,,"rows not having a digit , not a vowel , and not a capitalized letter",~ ( ( [ <NUM> ] ) & ( [ <VOW> ] ) & ( [ <CAP> ] ) ),没有数字，元音和大写字母的行,"lines without numbers , vowels and capital letters",~ ( ( [ <NUM> ] ) + & ( [ <NUM> ] ) + ) & ( [ <LET> ] ) +,0.441176471,0.353282813,15,0.347826087,0.21052631600000002,0.795287031,0.37018693799999997,0.362657401,0.141902921,0.647058824,0.596638655,0.0,0.0,0.0,0.323529412,0.278431373
88,p,plural,p,bug,bug,bug,,,,"lines with words that have either the string <M0> , an uppercase letter , or digits",\ b ( <M0> ) | ( [ <CAP> ] ) |( [ <NUM> ] ) + \ b,包含单词<M0>，大写字母或数字的单词的行,"rows of words containing the word <M0> , capital letters or numbers",. * ( . * <M0> . * ) | ( [ <NUM> ] ) + . *,0.469879518,0.388290225,8,0.6521739129999999,0.578947369,0.8272075390000001,0.469423597,0.364681033,0.14475835,0.4375,0.35714285700000004,0.00272567,0.00272567,0.00272567,0.220112835,0.168120357
89,c,,None,correct,correct,correct,,,,"rows not having a character , not a digit , and not a vowel",~ ( ( . ) & ( [ <NUM> ] ) & ( [ <VOW> ] ) ),没有字符，数字和元音的行,"lines without characters , numbers and vowels",~ ( ( . ) + & ( [ <NUM> ] ) + ) & ( [ <VOW> ] ) +,0.423728814,0.332002936,13,0.434782609,0.31578947399999996,0.748751842,0.225515159,0.364766008,0.144878253,0.764705882,0.731092437,1.0,1.0,1.0,0.882352941,0.8745098040000001
90,FW,FW,FW,bug,bug,bug,semantic,semantic,semantic,"rows with a number , 7 or more times","( [ <NUM> ] ) { 7 , }",行数大于等于7次,the number of rows is greater than or equal to 7 times,"( . * ) { 7 , }",0.333333333,0.221752903,9,0.608695652,0.52631579,0.857247555,0.562814053,0.368127851,0.149621953,0.6,0.542857143,0.0,0.0,0.0,0.3,0.253333333
91,FW,,None,bug,correct,correct,,,,"rows with words that have a character , 2 or greater times","\ b ( . ) { 2 , } \ b",包含2个或更多字符的单词的行,lines containing words of 2 or more characters,". * ( <M1> ) { 2 , } . *",0.24137931,0.109602009,6,0.739130435,0.6842105270000001,0.828871768,0.474597466,0.376972165,0.162101646,0.375,0.28571428600000004,0.0,0.0,0.0,0.1875,0.133333333
